userName;score;at;content;CaseFolding;Cleaning;Tokenizing;Formalisasi;WithoutStopwords;Stemming;Label
Pengguna Google;5;2026-01-23 03:17:15;"aplikasi bagus... mudah digunakan...;";"aplikasi bagus... mudah digunakan...;";aplikasi bagus mudah digunakan;['aplikasi', 'bagus', 'mudah', 'digunakan'];['aplikasi', 'bagus', 'mudah', 'digunakan'];['aplikasi', 'bagus', 'mudah'];['aplikasi', 'bagus', 'mudah'];Positif
Pengguna Google;5;2026-01-13 06:35:47;"MANTAP;";"mantap;";MANTAP;['MANTAP'];['MANTAP'];['MANTAP'];['mantap'];Positif
GP Channel;5;2025-12-20 00:18:47;"aplikasi nya mudah digunakan;";"aplikasi nya mudah digunakan;";aplikasi nya mudah digunakan;['aplikasi', 'nya', 'mudah', 'digunakan'];['aplikasi', 'nya', 'mudah', 'digunakan'];['aplikasi', 'nya', 'mudah'];['aplikasi', 'nya', 'mudah'];Positif
Pengguna Google;5;2026-01-02 23:37:11;"mantap👍;";"mantap👍;";mantap;['mantap'];['mantap'];['mantap'];['mantap'];Positif
Ahmad Sapturi;4;2025-12-24 11:25:28;"alhamdullah sekarang aplikasinya sudanh lumayan bagus ga kaya kemari kemarin moga tetap konsisten untuk mempermudah para penggunanya;";"alhamdullah sekarang aplikasinya sudanh lumayan bagus ga kaya kemari kemarin moga tetap konsisten untuk mempermudah para penggunanya;";alhamdullah sekarang aplikasinya sudanh lumayan bagus ga kaya kemari kemarin moga tetap konsisten untuk mempermudah para penggunanya;['alhamdullah', 'sekarang', 'aplikasinya', 'sudanh', 'lumayan', 'bagus', 'ga', 'kaya', 'kemari', 'kemarin', 'moga', 'tetap', 'konsisten', 'untuk', 'mempermudah', 'para', 'penggunanya'];['alhamdullah', 'sekarang', 'aplikasinya', 'sudanh', 'lumayan', 'bagus', 'ga', 'kaya', 'kemari', 'kemarin', 'moga', 'tetap', 'konsisten', 'untuk', 'mempermudah', 'para', 'penggunanya'];['alhamdullah', 'aplikasinya', 'sudanh', 'lumayan', 'bagus', 'ga', 'kaya', 'kemari', 'kemarin', 'moga', 'konsisten', 'mempermudah', 'penggunanya'];['alhamdullah', 'aplikasi', 'sudanh', 'lumayan', 'bagus', 'ga', 'kaya', 'kemari', 'kemarin', 'moga', 'konsisten', 'mudah', 'guna'];Positif
Pengguna Google;5;2026-01-20 05:43:54;"pelayanan sudah mulai bagus terima kasih;";"pelayanan sudah mulai bagus terima kasih;";pelayanan sudah mulai bagus terima kasih;['pelayanan', 'sudah', 'mulai', 'bagus', 'terima', 'kasih'];['pelayanan', 'sudah', 'mulai', 'bagus', 'terima', 'kasih'];['pelayanan', 'bagus', 'terima', 'kasih'];['layan', 'bagus', 'terima', 'kasih'];Positif
Pengguna Google;2;2026-01-05 08:06:18;"kenapa Antrian Online tidak bisa di Screenshoot setelah diupdate padahal ini penting;";"kenapa antrian online tidak bisa di screenshoot setelah diupdate padahal ini penting;";kenapa Antrian Online tidak bisa di Screenshoot setelah diupdate padahal ini penting;['kenapa', 'Antrian', 'Online', 'tidak', 'bisa', 'di', 'Screenshoot', 'setelah', 'diupdate', 'padahal', 'ini', 'penting'];['kenapa', 'Antrian', 'Online', 'tidak', 'bisa', 'di', 'Screenshoot', 'setelah', 'diupdate', 'padahal', 'ini', 'penting'];['Antrian', 'Online', 'Screenshoot', 'diupdate'];['antri', 'online', 'screenshoot', 'diupdate'];Negatif
Pengguna Google;5;2025-12-31 08:02:24;"memudahkan segalanya;";"memudahkan segalanya;";memudahkan segalanya;['memudahkan', 'segalanya'];['memudahkan', 'segalanya'];['memudahkan'];['mudah'];Positif
Budi Prasetyo;5;2025-12-21 10:02:27;"mantap;";"mantap;";mantap;['mantap'];['mantap'];['mantap'];['mantap'];Positif
Pengguna Google;5;2026-01-07 01:59:38;"jossss;";"jossss;";jos;['jos'];['jos'];['jos'];['jos'];Netral
Siswadi;5;2025-12-26 13:46:23;"memuaskan;";"memuaskan;";memuaskan;['memuaskan'];['memuaskan'];['memuaskan'];['muas'];Netral
Pengguna Google;1;2026-01-02 05:29:38;"mobile jkn nya tiba tiba kereset sudah daftar atau masuk ulang kode email nya ga dikirim kirim;";"mobile jkn nya tiba tiba kereset sudah daftar atau masuk ulang kode email nya ga dikirim kirim;";mobile jkn nya tiba tiba kereset sudah daftar atau masuk ulang kode email nya ga dikirim kirim;['mobile', 'jkn', 'nya', 'tiba', 'tiba', 'kereset', 'sudah', 'daftar', 'atau', 'masuk', 'ulang', 'kode', 'email', 'nya', 'ga', 'dikirim', 'kirim'];['mobile', 'jkn', 'nya', 'tiba', 'tiba', 'kereset', 'sudah', 'daftar', 'atau', 'masuk', 'ulang', 'kode', 'email', 'nya', 'ga', 'dikirim', 'kirim'];['mobile', 'jkn', 'nya', 'kereset', 'daftar', 'masuk', 'ulang', 'kode', 'email', 'nya', 'ga', 'dikirim', 'kirim'];['mobile', 'jkn', 'nya', 'kereset', 'daftar', 'masuk', 'ulang', 'kode', 'email', 'nya', 'ga', 'kirim', 'kirim'];Netral
Pengguna Google;4;2026-01-09 02:31:08;"Sukses Selalu;";"sukses selalu;";Sukses Selalu;['Sukses', 'Selalu'];['Sukses', 'Selalu'];['Sukses', 'Selalu'];['sukses', 'selalu'];Netral
yamin'z channel;5;2025-12-28 01:30:36;"mantap terimakasih;";"mantap terimakasih;";mantap terimakasih;['mantap', 'terimakasih'];['mantap', 'terimakasih'];['mantap', 'terimakasih'];['mantap', 'terimakasih'];Positif
Pengguna Google;5;2026-01-11 13:23:45;"bisa otomatis mencari info tentang faskes;";"bisa otomatis mencari info tentang faskes;";bisa otomatis mencari info tentang faskes;['bisa', 'otomatis', 'mencari', 'info', 'tentang', 'faskes'];['bisa', 'otomatis', 'mencari', 'info', 'tentang', 'faskes'];['otomatis', 'mencari', 'info', 'faskes'];['otomatis', 'cari', 'info', 'faskes'];Netral
Pengguna Google;4;2026-01-21 04:10:11;"saya beri 4 bintang karena blm saya pakai diklinik tsb;";"saya beri 4 bintang karena blm saya pakai diklinik tsb;";saya beri bintang karena blm saya pakai diklinik tsb;['saya', 'beri', 'bintang', 'karena', 'blm', 'saya', 'pakai', 'diklinik', 'tsb'];['saya', 'beri', 'bintang', 'karena', 'belum', 'saya', 'pakai', 'diklinik', 'tsb'];['bintang', 'blm', 'pakai', 'diklinik', 'tsb'];['bintang', 'blm', 'pakai', 'klinik', 'tsb'];Netral
Pengguna Google;5;2026-01-11 12:16:49;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;2;2026-01-05 07:50:35;"ko saya susah mau verifikasi lupa kata sandi;";"ko saya susah mau verifikasi lupa kata sandi;";ko saya susah mau verifikasi lupa kata sandi;['ko', 'saya', 'susah', 'mau', 'verifikasi', 'lupa', 'kata', 'sandi'];['ko', 'saya', 'susah', 'mau', 'verifikasi', 'lupa', 'kata', 'sandi'];['ko', 'susah', 'verifikasi', 'lupa', 'sandi'];['ko', 'susah', 'verifikasi', 'lupa', 'sandi'];Negatif
Maesaroh Maesaroh;2;2025-12-22 10:11:41;"ini kenapa aplikasi nya ga mau terbuka ya?;";"ini kenapa aplikasi nya ga mau terbuka ya?;";ini kenapa aplikasi nya ga mau terbuka ya;['ini', 'kenapa', 'aplikasi', 'nya', 'ga', 'mau', 'terbuka', 'ya'];['ini', 'kenapa', 'aplikasi', 'nya', 'ga', 'mau', 'terbuka', 'ya'];['aplikasi', 'nya', 'ga', 'terbuka', 'ya'];['aplikasi', 'nya', 'ga', 'buka', 'ya'];Netral
Pengguna Google;1;2026-01-02 12:20:25;"Nik Password SDH bener Dianggap salah;";"nik password sdh bener dianggap salah;";Nik Password SDH bener Dianggap salah;['Nik', 'Password', 'SDH', 'bener', 'Dianggap', 'salah'];['Nik', 'Password', 'SDH', 'bener', 'Dianggap', 'salah'];['Nik', 'Password', 'SDH', 'bener', 'Dianggap', 'salah'];['nik', 'password', 'sdh', 'bener', 'anggap', 'salah'];Netral
Pengguna Google;5;2026-01-15 05:29:02;"goodjob;";"goodjob;";goodjob;['goodjob'];['goodjob'];['goodjob'];['goodjob'];Netral
Pengguna Google;5;2026-01-05 05:30:14;"Gak mutu. Aplikasi paling busuukkk sedunia;";"gak mutu. aplikasi paling busuukkk sedunia;";Gak mutu Aplikasi paling busuuk sedunia;['Gak', 'mutu', 'Aplikasi', 'paling', 'busuuk', 'sedunia'];['Gak', 'mutu', 'Aplikasi', 'paling', 'busuuk', 'sedunia'];['Gak', 'mutu', 'Aplikasi', 'busuuk', 'sedunia'];['gak', 'mutu', 'aplikasi', 'busuuk', 'dunia'];Netral
Pengguna Google;5;2026-01-12 02:21:18;"pelayanannya sangat luar biasa;";"pelayanannya sangat luar biasa;";pelayanannya sangat luar biasa;['pelayanannya', 'sangat', 'luar', 'biasa'];['pelayanannya', 'sangat', 'luar', 'biasa'];['pelayanannya'];['layan'];Netral
Pengguna Google;1;2025-12-30 08:03:22;"verivikasi mukanya kelamaan;";"verivikasi mukanya kelamaan;";verivikasi mukanya kelamaan;['verivikasi', 'mukanya', 'kelamaan'];['verivikasi', 'mukanya', 'kelamaan'];['verivikasi', 'mukanya'];['verivikasi', 'muka'];Netral
Pengguna Google;5;2026-01-12 13:19:40;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;4;2026-01-20 11:48:45;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Pengguna Google;5;2026-01-09 13:38:22;"Terima kasih aplikasi mobile JKN sudah membantu;";"terima kasih aplikasi mobile jkn sudah membantu;";Terima kasih aplikasi mobile JKN sudah membantu;['Terima', 'kasih', 'aplikasi', 'mobile', 'JKN', 'sudah', 'membantu'];['Terima', 'kasih', 'aplikasi', 'mobile', 'JKN', 'sudah', 'membantu'];['Terima', 'kasih', 'aplikasi', 'mobile', 'JKN', 'membantu'];['terima', 'kasih', 'aplikasi', 'mobile', 'jkn', 'bantu'];Positif
Pengguna Google;2;2026-01-19 11:57:26;"ini kenapa ya selalu gangguan jadinya susah login;";"ini kenapa ya selalu gangguan jadinya susah login;";ini kenapa ya selalu gangguan jadinya susah login;['ini', 'kenapa', 'ya', 'selalu', 'gangguan', 'jadinya', 'susah', 'login'];['ini', 'kenapa', 'ya', 'selalu', 'gangguan', 'jadinya', 'susah', 'login'];['ya', 'gangguan', 'susah', 'login'];['ya', 'ganggu', 'susah', 'login'];Negatif
Pengguna Google;5;2026-01-08 07:50:15;"good;";"good;";good;['good'];['good'];['good'];['good'];Netral
Pengguna Google;1;2026-01-05 03:25:39;"sangat lambat dalam jaringan susah di akses sangat mengecewakan;";"sangat lambat dalam jaringan susah di akses sangat mengecewakan;";sangat lambat dalam jaringan susah di akses sangat mengecewakan;['sangat', 'lambat', 'dalam', 'jaringan', 'susah', 'di', 'akses', 'sangat', 'mengecewakan'];['sangat', 'lambat', 'dalam', 'jaringan', 'susah', 'di', 'akses', 'sangat', 'mengecewakan'];['lambat', 'jaringan', 'susah', 'akses', 'mengecewakan'];['lambat', 'jaring', 'susah', 'akses', 'kecewa'];Negatif
Pengguna Google;5;2026-01-02 03:38:32;"makasih sudah menciptakan aplikasi ini;";"makasih sudah menciptakan aplikasi ini;";makasih sudah menciptakan aplikasi ini;['makasih', 'sudah', 'menciptakan', 'aplikasi', 'ini'];['makasih', 'sudah', 'menciptakan', 'aplikasi', 'ini'];['makasih', 'menciptakan', 'aplikasi'];['makasih', 'cipta', 'aplikasi'];Netral
Pengguna Google;5;2026-01-06 04:44:43;"aplikasih yang luar biasa;";"aplikasih yang luar biasa;";aplikasih yang luar biasa;['aplikasih', 'yang', 'luar', 'biasa'];['aplikasih', 'yang', 'luar', 'biasa'];['aplikasih'];['aplikasih'];Netral
Pengguna Google;5;2026-01-13 19:42:42;"DAPAT DIPERCAYA BERGUNA BANGET;";"dapat dipercaya berguna banget;";DAPAT DIPERCAYA BERGUNA BANGET;['DAPAT', 'DIPERCAYA', 'BERGUNA', 'BANGET'];['DAPAT', 'DIPERCAYA', 'BERGUNA', 'BANGET'];['DAPAT', 'DIPERCAYA', 'BERGUNA', 'BANGET'];['dapat', 'percaya', 'guna', 'banget'];Netral
Pengguna Google;5;2026-01-16 02:55:11;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Rety Setya;5;2025-12-22 20:59:38;"lebih mudah buat ganti faskes dan ambil nomer antrian cepat;";"lebih mudah buat ganti faskes dan ambil nomer antrian cepat;";lebih mudah buat ganti faskes dan ambil nomer antrian cepat;['lebih', 'mudah', 'buat', 'ganti', 'faskes', 'dan', 'ambil', 'nomer', 'antrian', 'cepat'];['lebih', 'mudah', 'buat', 'ganti', 'faskes', 'dan', 'ambil', 'nomer', 'antrian', 'cepat'];['mudah', 'ganti', 'faskes', 'ambil', 'nomer', 'antrian', 'cepat'];['mudah', 'ganti', 'faskes', 'ambil', 'nomer', 'antri', 'cepat'];Positif
Pengguna Google;5;2025-12-31 04:03:15;"aplikasi yang memudahlan;";"aplikasi yang memudahlan;";aplikasi yang memudahlan;['aplikasi', 'yang', 'memudahlan'];['aplikasi', 'yang', 'memudahlan'];['aplikasi', 'memudahlan'];['aplikasi', 'memudahlan'];Positif
Pengguna Google;5;2026-01-13 00:04:35;"good;";"good;";good;['good'];['good'];['good'];['good'];Netral
Wigi Anto;5;2025-12-23 11:03:50;"top markotop;";"top markotop;";top markotop;['top', 'markotop'];['top', 'markotop'];['top', 'markotop'];['top', 'markotop'];Netral
Andik Prayoga;2;2025-12-24 17:37:23;"tidak bisa saya gunakan;";"tidak bisa saya gunakan;";tidak bisa saya gunakan;['tidak', 'bisa', 'saya', 'gunakan'];['tidak', 'bisa', 'saya', 'gunakan'];[];[];Negatif
Pengguna Google;5;2026-01-03 01:30:24;"Lancar;";"lancar;";Lancar;['Lancar'];['Lancar'];['Lancar'];['lancar'];Positif
Pengguna Google;5;2026-01-10 22:41:27;"Sangat memuaskan;";"sangat memuaskan;";Sangat memuaskan;['Sangat', 'memuaskan'];['Sangat', 'memuaskan'];['Sangat', 'memuaskan'];['sangat', 'muas'];Netral
Pengguna Google;5;2026-01-20 02:51:23;"sangat membantu untuk merubah data peserta;";"sangat membantu untuk merubah data peserta;";sangat membantu untuk merubah data peserta;['sangat', 'membantu', 'untuk', 'merubah', 'data', 'peserta'];['sangat', 'membantu', 'untuk', 'merubah', 'data', 'peserta'];['membantu', 'merubah', 'data', 'peserta'];['bantu', 'rubah', 'data', 'serta'];Positif
Pengguna Google;5;2026-01-23 13:16:51;"Kren saya membatu / memudahkan dalam administrasi.;";"kren saya membatu / memudahkan dalam administrasi.;";Kren saya membatu memudahkan dalam administrasi;['Kren', 'saya', 'membatu', 'memudahkan', 'dalam', 'administrasi'];['Kren', 'saya', 'membatu', 'memudahkan', 'dalam', 'administrasi'];['Kren', 'membatu', 'memudahkan', 'administrasi'];['kren', 'batu', 'mudah', 'administrasi'];Positif
Pengguna Google;5;2026-01-12 03:39:48;"MANTAAAPPb' sangat terbantukan dengan adanya aplikasi ini Terimakasih min....JKN Mobile;";"mantaaappb' sangat terbantukan dengan adanya aplikasi ini terimakasih min....jkn mobile;";MANTAPPb' sangat terbantukan dengan adanya aplikasi ini Terimakasih min JKN Mobile;"[""MANTAPPb'"", 'sangat', 'terbantukan', 'dengan', 'adanya', 'aplikasi', 'ini', 'Terimakasih', 'min', 'JKN', 'Mobile']";"[""MANTAPPb'"", 'sangat', 'terbantukan', 'dengan', 'adanya', 'aplikasi', 'ini', 'Terimakasih', 'min', 'JKN', 'Mobile']";"[""MANTAPPb'"", 'terbantukan', 'aplikasi', 'Terimakasih', 'min', 'JKN', 'Mobile']";['mantappb', 'bantu', 'aplikasi', 'terimakasih', 'min', 'jkn', 'mobile'];Positif
Pengguna Google;2;2026-01-02 12:01:42;"tolong buatkan surat keterangan dokternya secara visual karna kalau ke puskesmas berobat malam tidak dikasih surat keterangan dokter jadi susah untuk diserahkan ke perusahaan tempat bekerja;";"tolong buatkan surat keterangan dokternya secara visual karna kalau ke puskesmas berobat malam tidak dikasih surat keterangan dokter jadi susah untuk diserahkan ke perusahaan tempat bekerja;";tolong buatkan surat keterangan dokternya secara visual karna kalau ke puskesmas berobat malam tidak dikasih surat keterangan dokter jadi susah untuk diserahkan ke perusahaan tempat bekerja;['tolong', 'buatkan', 'surat', 'keterangan', 'dokternya', 'secara', 'visual', 'karna', 'kalau', 'ke', 'puskesmas', 'berobat', 'malam', 'tidak', 'dikasih', 'surat', 'keterangan', 'dokter', 'jadi', 'susah', 'untuk', 'diserahkan', 'ke', 'perusahaan', 'tempat', 'bekerja'];['tolong', 'buatkan', 'surat', 'keterangan', 'dokternya', 'secara', 'visual', 'karna', 'kalau', 'ke', 'puskesmas', 'berobat', 'malam', 'tidak', 'dikasih', 'surat', 'keterangan', 'dokter', 'jadi', 'susah', 'untuk', 'diserahkan', 'ke', 'perusahaan', 'tempat', 'bekerja'];['tolong', 'buatkan', 'surat', 'keterangan', 'dokternya', 'visual', 'karna', 'puskesmas', 'berobat', 'malam', 'dikasih', 'surat', 'keterangan', 'dokter', 'susah', 'diserahkan', 'perusahaan'];['tolong', 'buat', 'surat', 'terang', 'dokter', 'visual', 'karna', 'puskesmas', 'obat', 'malam', 'kasih', 'surat', 'terang', 'dokter', 'susah', 'serah', 'usaha'];Negatif
Pengguna Google;5;2026-01-19 01:28:08;"bagus sekali;";"bagus sekali;";bagus sekali;['bagus', 'sekali'];['bagus', 'sekali'];['bagus'];['bagus'];Positif
Kalisa Aulia;5;2025-12-26 08:20:07;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;1;2026-01-05 03:50:23;"proses login bermasalah terus;";"proses login bermasalah terus;";proses login bermasalah terus;['proses', 'login', 'bermasalah', 'terus'];['proses', 'login', 'bermasalah', 'terus'];['proses', 'login', 'bermasalah'];['proses', 'login', 'masalah'];Netral
Rifki Nazula;5;2025-12-20 00:48:46;"sangat membantu dan mempermudah dalam pemakaian dan menemukan informasi baik dari data dan penemuaan rumah sakit terdekat;";"sangat membantu dan mempermudah dalam pemakaian dan menemukan informasi baik dari data dan penemuaan rumah sakit terdekat;";sangat membantu dan mempermudah dalam pemakaian dan menemukan informasi baik dari data dan penemuaan rumah sakit terdekat;['sangat', 'membantu', 'dan', 'mempermudah', 'dalam', 'pemakaian', 'dan', 'menemukan', 'informasi', 'baik', 'dari', 'data', 'dan', 'penemuaan', 'rumah', 'sakit', 'terdekat'];['sangat', 'membantu', 'dan', 'mempermudah', 'dalam', 'pemakaian', 'dan', 'menemukan', 'informasi', 'baik', 'dari', 'data', 'dan', 'penemuaan', 'rumah', 'sakit', 'terdekat'];['membantu', 'mempermudah', 'pemakaian', 'menemukan', 'informasi', 'data', 'penemuaan', 'rumah', 'sakit', 'terdekat'];['bantu', 'mudah', 'pakai', 'temu', 'informasi', 'data', 'tua', 'rumah', 'sakit', 'dekat'];Positif
Pengguna Google;1;2026-01-08 01:39:21;"aneh;";"aneh;";aneh;['aneh'];['aneh'];['aneh'];['aneh'];Netral
Kawulane Gusti;1;2025-12-24 09:01:46;"gagal melulu...aplikasi busuk;";"gagal melulu...aplikasi busuk;";gagal melulu aplikasi busuk;['gagal', 'melulu', 'aplikasi', 'busuk'];['gagal', 'melulu', 'aplikasi', 'busuk'];['gagal', 'melulu', 'aplikasi', 'busuk'];['gagal', 'melulu', 'aplikasi', 'busuk'];Negatif
Pengguna Google;5;2026-01-07 20:54:51;"mantappz membantu sekali terima kasih mobile jkn;";"mantappz membantu sekali terima kasih mobile jkn;";mantappz membantu sekali terima kasih mobile jkn;['mantappz', 'membantu', 'sekali', 'terima', 'kasih', 'mobile', 'jkn'];['mantappz', 'membantu', 'sekali', 'terima', 'kasih', 'mobile', 'jkn'];['mantappz', 'membantu', 'terima', 'kasih', 'mobile', 'jkn'];['mantappz', 'bantu', 'terima', 'kasih', 'mobile', 'jkn'];Positif
Pengguna Google;1;2026-01-24 09:03:08;"ini maunya apa sih bpjs. aplikasi g bisa diakses...;";"ini maunya apa sih bpjs. aplikasi g bisa diakses...;";ini maunya apa sih bpjs aplikasi g bisa diakses;['ini', 'maunya', 'apa', 'sih', 'bpjs', 'aplikasi', 'g', 'bisa', 'diakses'];['ini', 'maunya', 'apa', 'sih', 'bpjs', 'aplikasi', 'g', 'bisa', 'diakses'];['maunya', 'sih', 'bpjs', 'aplikasi', 'g', 'diakses'];['mau', 'sih', 'bpjs', 'aplikasi', 'g', 'akses'];Netral
Pengguna Google;5;2026-01-19 22:07:48;"sangat2 membantu;";"sangat2 membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;4;2026-01-04 19:13:28;"Beberapa kali daftar tapi gagal terus. Tolong dipermudah dong penggunaan aplikasinya. Terima kasih.;";"beberapa kali daftar tapi gagal terus. tolong dipermudah dong penggunaan aplikasinya. terima kasih.;";Beberapa kali daftar tapi gagal terus Tolong dipermudah dong penggunaan aplikasinya Terima kasih;['Beberapa', 'kali', 'daftar', 'tapi', 'gagal', 'terus', 'Tolong', 'dipermudah', 'dong', 'penggunaan', 'aplikasinya', 'Terima', 'kasih'];['Beberapa', 'kali', 'daftar', 'tapi', 'gagal', 'terus', 'Tolong', 'dipermudah', 'dong', 'penggunaan', 'aplikasinya', 'Terima', 'kasih'];['Beberapa', 'kali', 'daftar', 'gagal', 'Tolong', 'dipermudah', 'penggunaan', 'aplikasinya', 'Terima', 'kasih'];['beberapa', 'kali', 'daftar', 'gagal', 'tolong', 'mudah', 'guna', 'aplikasi', 'terima', 'kasih'];Netral
Abdul Wahid;5;2025-12-29 02:00:44;"Pelayanannya bagus...;";"pelayanannya bagus...;";Pelayanannya bagus;['Pelayanannya', 'bagus'];['Pelayanannya', 'bagus'];['Pelayanannya', 'bagus'];['layan', 'bagus'];Positif
Pengguna Google;5;2025-12-29 15:15:04;"sangat baik dan mudah;";"sangat baik dan mudah;";sangat baik dan mudah;['sangat', 'baik', 'dan', 'mudah'];['sangat', 'baik', 'dan', 'mudah'];['mudah'];['mudah'];Positif
Pengguna Google;1;2026-01-24 07:13:07;"ribet banget lama pegawai ny kudet ga ngerti make apk nya;";"ribet banget lama pegawai ny kudet ga ngerti make apk nya;";ribet banget lama pegawai ny kudet ga ngerti make apk nya;['ribet', 'banget', 'lama', 'pegawai', 'ny', 'kudet', 'ga', 'ngerti', 'make', 'apk', 'nya'];['ribet', 'sangat', 'lama', 'pegawai', 'ny', 'kudet', 'ga', 'ngerti', 'make', 'apk', 'nya'];['ribet', 'banget', 'pegawai', 'ny', 'kudet', 'ga', 'ngerti', 'make', 'apk', 'nya'];['ribet', 'banget', 'pegawai', 'ny', 'kudet', 'ga', 'ngerti', 'make', 'apk', 'nya'];Negatif
Pengguna Google;5;2026-01-24 01:44:59;"sangat bagus;";"sangat bagus;";sangat bagus;['sangat', 'bagus'];['sangat', 'bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-05 09:21:57;"Info kesehatan semakin mudah;";"info kesehatan semakin mudah;";Info kesehatan semakin mudah;['Info', 'kesehatan', 'semakin', 'mudah'];['Info', 'kesehatan', 'semakin', 'mudah'];['Info', 'kesehatan', 'mudah'];['info', 'sehat', 'mudah'];Positif
Pengguna Google;5;2026-01-02 07:14:26;"mantap;";"mantap;";mantap;['mantap'];['mantap'];['mantap'];['mantap'];Positif
Pengguna Google;5;2026-01-15 10:37:14;"sangat bermanfaat bagi masyarakat 👍;";"sangat bermanfaat bagi masyarakat 👍;";sangat bermanfaat bagi masyarakat ;['sangat', 'bermanfaat', 'bagi', 'masyarakat'];['sangat', 'bermanfaat', 'bagi', 'masyarakat'];['bermanfaat', 'masyarakat'];['manfaat', 'masyarakat'];Netral
Pengguna Google;5;2026-01-07 06:44:53;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-05 04:22:53;"Aplikasi aneh tiba² logout sendiri. giliran mau login password & nik udah bener tetep gak bisa masuk 😹;";"aplikasi aneh tiba² logout sendiri. giliran mau login password & nik udah bener tetep gak bisa masuk 😹;";Aplikasi aneh tiba logout sendiri giliran mau login password & nik udah bener tetep gak bisa masuk ;['Aplikasi', 'aneh', 'tiba', 'logout', 'sendiri', 'giliran', 'mau', 'login', 'password', '&', 'nik', 'udah', 'bener', 'tetep', 'gak', 'bisa', 'masuk'];['Aplikasi', 'aneh', 'tiba', 'logout', 'sendiri', 'giliran', 'mau', 'login', 'password', '&', 'nik', 'sudah', 'bener', 'tetep', 'tidak', 'bisa', 'masuk'];['Aplikasi', 'aneh', 'logout', 'giliran', 'login', 'password', '&', 'nik', 'udah', 'bener', 'tetep', 'gak', 'masuk'];['aplikasi', 'aneh', 'logout', 'gilir', 'login', 'password', '', 'nik', 'udah', 'bener', 'tetep', 'gak', 'masuk'];Netral
Pengguna Google;1;2026-01-03 13:58:06;"layanannya sampah;";"layanannya sampah;";layanannya sampah;['layanannya', 'sampah'];['layanannya', 'sampah'];['layanannya', 'sampah'];['layan', 'sampah'];Netral
Pengguna Google;5;2026-01-11 14:01:35;"bagus banget;";"bagus banget;";bagus banget;['bagus', 'banget'];['bagus', 'sangat'];['bagus', 'banget'];['bagus', 'banget'];Positif
Pengguna Google;1;2026-01-05 04:11:50;"ga bisa masuk gagal terus;";"ga bisa masuk gagal terus;";ga bisa masuk gagal terus;['ga', 'bisa', 'masuk', 'gagal', 'terus'];['ga', 'bisa', 'masuk', 'gagal', 'terus'];['ga', 'masuk', 'gagal'];['ga', 'masuk', 'gagal'];Negatif
Pengguna Google;5;2026-01-16 00:21:08;"dapat menampilkan lokasi terdekat dengan cepat & akurat. perubahan data lebih cepat jadi 2 Minggu. josss.;";"dapat menampilkan lokasi terdekat dengan cepat & akurat. perubahan data lebih cepat jadi 2 minggu. josss.;";dapat menampilkan lokasi terdekat dengan cepat & akurat perubahan data lebih cepat jadi Minggu jos;['dapat', 'menampilkan', 'lokasi', 'terdekat', 'dengan', 'cepat', '&', 'akurat', 'perubahan', 'data', 'lebih', 'cepat', 'jadi', 'Minggu', 'jos'];['dapat', 'menampilkan', 'lokasi', 'terdekat', 'dengan', 'cepat', '&', 'akurat', 'perubahan', 'data', 'lebih', 'cepat', 'jadi', 'Minggu', 'jos'];['menampilkan', 'lokasi', 'terdekat', 'cepat', '&', 'akurat', 'perubahan', 'data', 'cepat', 'Minggu', 'jos'];['tampil', 'lokasi', 'dekat', 'cepat', '', 'akurat', 'ubah', 'data', 'cepat', 'minggu', 'jos'];Positif
Pengguna Google;1;2026-01-22 00:09:29;"aplikasi bngst lama bnr cmn mau berobat doang;";"aplikasi bngst lama bnr cmn mau berobat doang;";aplikasi bngst lama bnr cmn mau berobat doang;['aplikasi', 'bngst', 'lama', 'bnr', 'cmn', 'mau', 'berobat', 'doang'];['aplikasi', 'bngst', 'lama', 'bnr', 'cuma', 'mau', 'berobat', 'doang'];['aplikasi', 'bngst', 'bnr', 'cmn', 'berobat', 'doang'];['aplikasi', 'bngst', 'bnr', 'cmn', 'obat', 'doang'];Netral
Pengguna Google;5;2026-01-07 04:39:15;"mudah dalam penggunaan;";"mudah dalam penggunaan;";mudah dalam penggunaan;['mudah', 'dalam', 'penggunaan'];['mudah', 'dalam', 'penggunaan'];['mudah', 'penggunaan'];['mudah', 'guna'];Positif
